Samples,RMS,StR
1,0.019470394,40.80721085628948
2,0.015191208,45.99697824733881
3,0.011976155,50.03032407892009
4,0.0058454983,50.95006338831883
5,0.007606869,48.85895274187594
6,0.003446076,54.15728764901526
7,0.0047120377,52.970356746762725
8,0.003423891,55.02721470547941
9,0.0032499544,54.73427089701893
10,0.0017890983,57.745522298076544
11,0.0024306164,55.64543491509308
12,0.0016008929,57.61723927208653
13,0.0017593488,57.01620275071232
14,0.0011496901,59.237078658358016
15,0.0016435882,57.462959051395934
16,0.0012624532,58.862485058839304
17,0.0013800892,58.20299455368769
18,0.0009117865,60.26077337636113
19,0.0011801248,58.79639231376534
20,0.00080217636,60.72123936164829
21,0.0010524527,59.323843785183634
22,0.0007683769,60.874785556855066
23,0.0009509024,59.74203891446385
24,0.0006566026,61.605163151859216
25,0.0008774933,60.11255355932035
26,0.00062999286,61.82034590012884
27,0.000816941,60.43267423102256
28,0.0005824668,62.144703472699014
29,0.00074076356,60.831234195794046
30,0.0005149326,62.65067487653762
31,0.00068702636,61.15265383640626
32,0.00047445713,63.03154892834744
33,0.00063385867,61.49845933035152
34,0.0004455136,63.25911060520216
35,0.0005994292,61.73401581442819
36,0.00041617706,63.54357636072297
37,0.00055416353,62.073607301220726
38,0.0003806213,63.95960615289094
39,0.00052646094,62.311759017603386
40,0.0003687543,64.10894695989894
41,0.00050030666,62.535763002302815
42,0.00034830987,64.3425770962847
43,0.00046754527,62.82065531678943
44,0.00031960188,64.7083355212203
45,0.0004438879,63.03759688872922
46,0.00031220398,64.80331030012661
47,0.00042465507,63.24220652540081
48,0.00029299152,65.094731735835
49,0.00040370444,63.45223657104733
50,0.00027756012,65.3110348868361
51,0.00038285076,63.67554410157229
52,0.00026327226,65.54318171846916
53,0.0003672307,63.86099372421142
54,0.00025240518,65.7199945001318
55,0.00035260702,64.04079796564167
56,0.00024252349,65.92471417154628
57,0.00033787466,64.23122923874584
58,0.00023161755,66.11676788539799
59,0.00032320313,64.41447244865293
60,0.00022009619,66.31951861903784
61,0.00031012666,64.58940637090676
62,0.00021206068,66.45981215801866
63,0.00029806074,64.76489478586
64,0.00020175763,66.68820145151058
65,0.00028703726,64.92332655287542
66,0.00019379612,66.85648308306028
67,0.0002760033,65.09263586778253
68,0.00018831214,66.98248553502543
69,0.0002683449,65.21831658015346
70,0.00018143748,67.16972918098011
71,0.00025876373,65.38041910587928
72,0.00017526555,67.3170404190614
73,0.00025072208,65.51779194932183
74,0.00016987928,67.44612882169575
75,0.00024216647,65.66560130858785
76,0.00016142962,67.66039529517434
77,0.0002330109,65.82702553259487
78,0.0001565957,67.7874944691588
79,0.00022561745,65.9680813452564
80,0.00015170746,67.91934992257151
81,0.00021893262,66.09595756425861
82,0.00014557532,68.10372209319777
83,0.00021199153,66.23298079152258
84,0.00014164422,68.21033113325177
85,0.00020563566,66.36734990092643
86,0.00013658647,68.38169177900853
87,0.0002003684,66.48270731710032
88,0.00013484815,68.45185354130825
89,0.00019536086,66.59631276699405
90,0.00012990377,68.61663027396901
91,0.00018968293,66.72137461484628
92,0.00012580967,68.74902242444713
93,0.00018387625,66.85317564788416
94,0.00012218916,68.86558906495523
95,0.00017932952,66.96264702197497
96,0.00011844217,69.00777084927674
97,0.00017396318,67.09141295087251
98,0.00011449279,69.14550983432824
99,0.00016950698,67.20255324688972
100,0.0001122686,69.2273893414343
101,0.00016576203,67.3037576647908
102,0.00010924014,69.37092884132613
103,0.00016141184,67.42284153132445
