Samples,RMS,StR
1,0.027002128,41.12300108865039
2,0.018543186,48.18670501507211
3,0.011864307,51.96248899212517
4,0.0061990055,53.71253558535845
5,0.0066357157,53.43822035829585
6,0.0033720264,57.17390110114962
7,0.0052399845,55.37902462436061
8,0.002867114,58.06917197025438
9,0.0036809891,56.82269041955627
10,0.001728639,60.09281948514953
11,0.0026778234,58.118915035291785
12,0.0015565202,60.61372835316669
13,0.0018548089,59.75963826861858
14,0.0012667944,61.45396950061823
15,0.002064189,59.31969108759965
16,0.0013416227,61.25112477896933
17,0.0014224969,60.96444329637649
18,0.0008004965,63.42644119426062
19,0.0012943471,61.33175191498836
20,0.0008278788,63.29651515322807
21,0.0011740256,61.79501221800847
22,0.0008050562,63.43143314217734
23,0.0010455243,62.283351940328785
24,0.00064225675,64.39520718413176
25,0.00088660046,63.02157991523359
26,0.00061563944,64.57148107759937
27,0.0008598124,63.13276087238051
28,0.00057690864,64.85760069690963
29,0.0007680298,63.64759112866244
30,0.0005149126,65.33916964122403
31,0.0007292635,63.85915834956012
32,0.00045631942,65.87223250962953
33,0.000655469,64.33061584935282
34,0.00043738078,66.05575435811554
35,0.00063392567,64.46907131972524
36,0.00040888702,66.36138546674769
37,0.0005767532,64.89238916922824
38,0.00036906629,66.79500119159366
39,0.0005475672,65.10165458206339
40,0.00034836252,67.06352355269003
41,0.00051878457,65.34997200923699
42,0.00033511408,67.21823532215389
43,0.00048168408,65.67246222472374
44,0.00031496517,67.47396298704899
45,0.00046357987,65.83263999153442
46,0.00029858493,67.72518653809132
47,0.00043311215,66.1360588595091
48,0.0002757415,68.07070283768424
49,0.0004241983,66.21511031795751
50,0.00026729234,68.19621107018688
51,0.00039708728,66.51252043263514
52,0.00024047488,68.68727352973198
53,0.00038265833,66.66319255957606
54,0.0002446547,68.5831296335911
55,0.0003647333,66.88272694042806
56,0.00022388138,68.98150197373984
57,0.00034770634,67.08467309040344
58,0.00022106785,69.01501467149315
59,0.00033508372,67.25692935174472
60,0.00020681265,69.32526634651983
61,0.0003206956,67.43809030218853
62,0.00020280895,69.40110941414945
63,0.00030636636,67.6382317495049
64,0.00019017833,69.69099092427888
65,0.000299906,67.72604323490259
66,0.00018312728,69.8546349158984
67,0.00028584138,67.9429180801454
68,0.00017546587,70.03303991467925
69,0.00027555422,68.1012170854448
70,0.00017224874,70.10418805137735
71,0.00026526573,68.26961295891826
72,0.000161536,70.40154163683239
73,0.0002577247,68.3903269303879
74,0.00015886979,70.46794608041859
75,0.000247575,68.5716577059455
76,0.00015149754,70.66524468850578
77,0.00024026878,68.69704217805953
78,0.00014559456,70.85626084547576
79,0.00023152136,68.86317055104459
80,0.00014298708,70.9207052361634
81,0.0002269679,68.93969584559548
82,0.00013573394,71.14792197369657
83,0.00021687213,69.15417742665396
84,0.00013104164,71.30985292330209
85,0.00021289256,69.22032248549942
86,0.00012995693,71.32787602422385
87,0.00020497896,69.39231401137104
88,0.00012250892,71.60400592335333
