Samples,RMS,StR
1,0.023135567,44.96605995511651
2,0.014027326,50.53545516679628
3,0.011463019,51.925352949362384
4,0.008632419,54.02811196179535
5,0.009507826,53.43506813642733
6,0.0045165117,57.69328158086979
7,0.0058871857,55.945102651670844
8,0.003265777,59.27477116546796
9,0.0055231415,56.365497137731104
10,0.0030716567,59.44808075703232
11,0.0042567174,57.603480248794455
12,0.0023847285,60.62407064591141
13,0.0039407276,58.01680880801363
14,0.0019073085,61.86738562802935
15,0.0026949856,59.68698034984563
16,0.0019566882,61.40920613491477
17,0.002690309,59.84489576418112
18,0.0015474785,62.62723130374067
19,0.0020850645,60.9319567367384
20,0.0016360633,62.24240800685387
21,0.0018890718,61.554388299440994
22,0.0011849856,63.76193672273359
23,0.0015761236,62.21782628146671
24,0.001525062,62.48810215916163
25,0.001513189,62.53246776448648
26,0.001038157,64.38395139861686
27,0.0013208445,63.06666362534035
28,0.0012965698,63.15959960752859
29,0.0013136454,63.128144492598054
30,0.0009475203,64.70835614559117
31,0.0011464889,63.706114667690485
32,0.0010895751,64.04689881557827
33,0.0010733203,64.0061014674247
34,0.00080463226,65.39313975298764
35,0.0010447317,64.06451485102342
36,0.000868073,65.09450183318583
37,0.00093695894,64.60822274364995
38,0.0006683925,66.2761784587816
39,0.0009379888,64.49245328622479
40,0.00073792296,65.89975257435347
41,0.00083579373,65.07574468562639
42,0.0006080149,66.73289092270728
43,0.0008602093,64.86355096394901
44,0.0006388028,66.58185328636677
45,0.00075815525,65.53949715317982
46,0.0005509127,67.10325299073331
47,0.0007986124,65.18790349688163
48,0.00056793477,67.11463184868335
49,0.00068353914,65.95851070043253
50,0.0005155623,67.45612712624835
51,0.0007067491,65.72470650585166
52,0.0004945156,67.77055692629585
53,0.00062182854,66.38154669089748
54,0.00048378765,67.66082732866623
55,0.00062355906,66.3207712772474
56,0.00043976711,68.27439600860824
57,0.00056082685,66.80592293580709
58,0.00046075348,67.85659818719625
59,0.00055676413,66.80357222157836
60,0.0003929182,68.72093461490331
61,0.0005213719,67.12450624342613
62,0.00042205898,68.1987217625202
63,0.00051449303,67.1903963409381
64,0.00036635078,69.04671386056569
65,0.00048162244,67.45559440621422
66,0.00039429855,68.50642521137081
67,0.00047028894,67.57418082666925
68,0.00033683798,69.39798832712967
69,0.0004526749,67.70857784844397
70,0.00035011946,69.02135696437954
71,0.0004382663,67.9011324593
72,0.00030605638,69.78703364749641
73,0.00042947484,67.95903871788886
74,0.00032112197,69.47579507032772
75,0.00040591613,68.25251734674454
76,0.0002898133,70.02750796570206
77,0.00039946812,68.24139838464761
78,0.00028807292,69.94939103320439
79,0.00037821682,68.57223772305672
80,0.00026817142,70.28844771861489
81,0.000378535,68.47660095087444
82,0.00026648486,70.3213833198326
83,0.0003551614,68.83840895084793
84,0.00025709326,70.52675334292582
85,0.00035568967,68.7373917449911
86,0.00024827902,70.61877168245496
87,0.00033437865,69.10476963480816
88,0.0002387638,70.77514325045685
89,0.00032980702,69.0647277685878
90,0.00023004315,70.9524063661578
91,0.0003137088,69.35160756145528
92,0.0002279072,70.99155211437834
93,0.00030463366,69.41701073010802
94,0.00021749902,71.24983943021851
95,0.00029786167,69.58287949305851
96,0.00021646726,71.20101371239987
97,0.00028899053,69.66855190410006
98,0.00019780494,71.68231175639882
99,0.00028118052,69.82131682465771
100,0.00020314592,71.43091835627806
101,0.0002703065,69.9335950175246
102,0.00018951744,71.89260484297354
103,0.0002647872,70.06671075488202
104,0.0001894541,71.74677702257969
105,0.00025875648,70.1377381535192
106,0.0001768892,72.14595746580346
107,0.0002532092,70.24823402393261
108,0.0001752312,72.0848249715033
109,0.00024054178,70.43283861240477
110,0.00016866882,72.38109168669787
111,0.00023907745,70.47048823849963
112,0.00016362,72.38777065205514
113,0.00022901525,70.66790065818435
114,0.00015801853,72.6495364498106
115,0.00022938046,70.66268021866449
116,0.00015449729,72.67724110824967
117,0.00021658365,70.90709418375995
118,0.00015182319,72.82559594116219
119,0.00021655834,70.8956822224491
120,0.00014740844,72.869923825956
121,0.00020634833,71.12583186573991
122,0.00014228532,73.07970870004826
123,0.000206089,71.10522377238918
124,0.00013743754,73.1510123502194
125,0.0001978064,71.30578742954927
126,0.00013609605,73.25058076738597
127,0.00019200965,71.39474733645429
128,0.0001300927,73.3979910160661
129,0.00018740993,71.53031312295059
130,0.00012947935,73.4375691280487
131,0.00018415767,71.57657402069776
132,0.00012132668,73.6909828706159
133,0.00017893202,71.74161533336569
134,0.00012254805,73.69978134687324
135,0.00017557775,71.78392838532037
136,0.000117317664,73.86939992575634
137,0.00017197726,71.90982690611426
138,0.00011493559,73.98025842321957
139,0.00016709913,72.00305828756589
140,0.00011091807,74.10296001752052
141,0.00016542086,72.07613871205895
142,0.000108864624,74.19674222230553
143,0.000158995,72.1986727709786
144,0.00010434331,74.37463638791635
145,0.00015727222,72.28092076074009
146,0.000102259895,74.45825823983215
147,0.00015192143,72.3921470121783
148,9.844818e-05,74.60882735026429
149,0.00015045823,72.45827180867848
150,9.526854e-05,74.75811972189673
151,0.00014465624,72.59581861760128
152,9.485878e-05,74.78260253224867
153,0.00014384607,72.64447640984105
154,9.136495e-05,74.92763096497892
155,0.00013860957,72.78705114798741
156,8.919873e-05,75.06272349877614
157,0.00013864144,72.81479755713389
158,8.683933e-05,75.13781115856193
159,0.00013376419,72.94313790968889
160,8.581785e-05,75.24122980133775
161,0.00013113033,73.04062604452251
162,8.276085e-05,75.34298283229904
163,0.00012787926,73.12414118273752
164,8.167417e-05,75.42384922048156
165,0.00012570928,73.21619432713638
166,7.77666e-05,75.5864081279175
167,0.00012236055,73.31080753034968
168,7.763945e-05,75.63494123511462
169,0.00011994826,73.40797930910131
170,7.463712e-05,75.7477268173091
171,0.00011680976,73.50747203814609
172,7.393198e-05,75.84227186658114
173,0.000115495444,73.56929104946141
174,7.133233e-05,75.9423680700259
175,0.00011277429,73.66628248912062
176,7.04028e-05,76.06348823689936
177,0.00011063437,73.75284735903476
178,6.875168e-05,76.11440248769219
179,0.00010838509,73.8368423283816
180,6.720424e-05,76.26760677663373
181,0.00010611407,73.93118587150194
182,6.555679e-05,76.304629757319
183,0.00010431665,74.00177121087384
184,6.3608066e-05,76.49688806732084
185,0.00010167508,74.10000953720183
186,6.215859e-05,76.53189218253728
187,9.967134e-05,74.18734382745694
188,6.0763046e-05,76.67291807394324
189,9.7332355e-05,74.28028423364565
190,5.906574e-05,76.74377233801465
191,9.594396e-05,74.34986099394926
192,5.800788e-05,76.87875495709764
193,9.414309e-05,74.42029385936716
194,5.6621986e-05,76.94510455529257
195,9.2217524e-05,74.52256271450109
196,5.5840694e-05,77.03750504899106
197,9.063872e-05,74.5841042337496
198,5.3971395e-05,77.15736371169596
199,8.903529e-05,74.67432340954221
200,5.3400643e-05,77.22582588038873
201,8.745466e-05,74.7313691427979
202,5.146962e-05,77.3659694916776
203,8.56402e-05,74.84059964920507
204,5.1177765e-05,77.39274284216111
205,8.394092e-05,74.89748150650959
206,4.8733167e-05,77.59314490340361
207,8.240979e-05,74.99653466679719
208,4.8727026e-05,77.59316877616034
209,8.096721e-05,75.04988220395157
210,4.6288984e-05,77.83021433682026
211,7.9710495e-05,75.13839332515543
212,4.6415877e-05,77.7983614463421
213,7.809696e-05,75.20324411191301
214,4.3711694e-05,78.083992030551
215,7.71897e-05,75.27519806310443
216,4.428819e-05,78.0049232987396
