Progress,RMS,StR
0,0.00015770562,64.30093543881499
1,0.00015626206,64.3671186544152
2,0.00015229978,64.5110874895789
3,0.00014071591,64.88662480960458
4,0.00014483395,64.79434320161226
5,0.00014676612,64.76933006994321
6,0.00014498386,64.85436184401469
7,0.00014552723,64.87509186054717
8,0.00014271135,64.99690714971133
9,0.00014152832,65.07053180435221
10,0.00013575215,65.29208575786564
11,0.0001430794,65.10300012364382
12,0.00014713286,65.01754040939024
13,0.00014839962,65.02173702850753
14,0.00014158791,65.2690126430456
15,0.00013903558,65.3881342687522
16,0.00013450332,65.57344001162811
17,0.0001236457,65.98263275603473
18,0.00013651485,65.59265815455771
19,0.00013166525,65.79032849137458
20,0.0001355112,65.71061485973512
21,0.00013212116,65.86115022788516
22,0.00012058141,66.29652747326632
23,0.00012490396,66.18903394388892
24,0.00013023023,66.04636227353465
25,0.00011868253,66.49145784748193
26,0.00013205037,66.06768894209874
27,0.00011739304,66.6200556496666
28,0.0001233778,66.44196618827701
29,0.00011359972,66.84143512484647
30,0.000119598175,66.6544321594215
31,0.00011977208,66.68862303671536
32,0.00011207215,67.01828937414255
33,0.000111693655,67.06875876179667
34,0.000113542366,67.03722169071716
35,0.00011557469,66.99286111604815
36,0.00010893487,67.28751347368197
37,0.00011332033,67.15390263485628
38,0.00011339708,67.18679216739767
39,0.00010986698,67.35864745215183
40,9.375968e-05,68.08025362024331
41,9.681721e-05,67.97289159986346
42,0.00010001026,67.86155815020665
43,9.2452196e-05,68.23318626218385
44,9.18576e-05,68.29532697173094
45,0.00044635954,61.66671740179032
46,0.00017184061,65.78059994972148
47,0.00016156673,66.0785074456755
48,0.0001572956,66.22935321223875
49,0.00021494419,64.97853753673292
50,0.0001836681,65.9598812921791
51,0.00018912466,66.16566279284805
52,0.00019892656,66.2554196043696
53,0.00018546048,66.85427434731392
54,0.00018897961,67.0581662075836
55,0.00017407461,67.69533378258564
56,0.0001656852,68.1717021844574
57,0.00022264844,67.13304158303575
58,0.00021333857,67.48277228775864
59,0.0001912969,68.11587704673983
60,0.00022215846,67.61591155485081
61,0.0002073102,68.0635118710802
62,0.00021660305,68.01342876423985
63,0.00022515016,67.98167358937046
64,0.00022982387,68.03062973490236
65,0.00021917187,68.37447220023905
66,0.0002692458,67.6007387212737
67,0.00022951285,68.42563722105038
68,0.00021241215,68.89097146645989
69,0.00024817398,68.3386713413827
70,0.00013986489,70.98263756476221
71,0.00015367779,70.7418162228717
72,0.00016424125,70.5934840017438
73,0.00015509962,70.98697113778627
74,0.00015967578,71.0003367777067
75,0.00014769087,71.48564333789686
76,0.00013261255,72.09203306999905
77,0.0001514824,71.66372521226334
78,0.00016616873,71.4278579069905
79,0.00015688261,71.85157103521303
80,0.00016503684,71.68667306070292
81,0.00016677789,71.72930175734899
82,0.00017097122,71.71634178984662
83,0.00018777551,71.4139756943942
84,0.00019935887,71.25626404041391
85,0.00038585035,68.5269875830874
86,0.00037874782,68.70578190593025
87,0.00041692835,68.39523025904316
88,0.00037756373,68.91314783060294
89,0.0003336327,69.53250236757005
90,0.00030380356,70.02394924315658
91,0.00031006144,70.02333300081773
92,0.000317656,70.00538720067557
93,0.00031631693,70.09508171007268
94,0.0003040938,70.35350968738345
95,0.00029392543,70.58746728296457
96,0.0002799277,70.88992206636563
97,0.0002685802,71.16564459530194
