Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1056,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,891311,0.015081,84,10610,1884,31817,8428.378232
1056,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,2951977,0.049948,84,35142,15240,608200,73196.592547
1056,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1120057,0.018952,84,13334,4518,309841,42106.517061
1056,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,615364,0.010412,84,7325,5165,25945,3693.601605
1056,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,975112,0.016499,84,11608,5063,206184,30381.663376
1056,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,825197,0.013962,84,9823,1541,280261,38517.698619
1056,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,637164,0.010781,84,7585,1990,201592,30280.089595
1056,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,128485,0.002174,84,1529,1089,9265,893.522749
1056,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,104115,0.001762,84,1239,861,5946,699.635232
1056,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,244521099,4.137328,84,2910965,13979,243019199,26513594.672606
1072,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,840386,0.013968,71,11836,1531,325603,46837.206498
1072,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,10581584,0.175873,71,149036,67789,1781458,232056.654005
1072,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1009129,0.016772,71,14213,4389,327126,48657.937781
1072,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,3003009,0.049912,71,42295,15145,464128,87889.424954
1072,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,640398,0.010644,71,9019,2007,251060,37232.998296
1072,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,920377,0.015297,71,12963,5184,255334,37318.877452
1072,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,97731,0.001624,71,1376,1023,2788,261.642968
1072,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1331498,0.022130,71,18753,7858,278151,34803.138618
1072,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,487338,0.008100,71,6863,3079,88742,11770.599105
1072,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,468018,0.007779,71,6591,5310,25313,2662.937269
1072,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,86737,0.001442,71,1221,857,4368,421.556978
1072,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,758665,0.012610,71,10685,1916,65883,10225.526162
1072,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,300609036,4.996335,71,4233930,14237,299386921,35528618.828881
1088,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,586377,0.010142,72,8144,1979,193914,31683.907565
1088,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,12649077,0.218774,72,175681,69430,3114794,387391.456064
1088,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,340572,0.005890,72,4730,3184,17802,2164.514485
1088,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1306720,0.022601,72,18148,7219,163923,22727.692008
1088,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,3797611,0.065682,72,52744,15091,1115141,148846.572909
1088,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1003749,0.017360,72,13940,4739,262990,36755.876084
1088,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1539859,0.026633,72,21386,1587,940443,114723.925176
1088,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,477408,0.008257,72,6630,5004,18424,2486.002074
1088,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,110687,0.001914,72,1537,1168,6716,737.394796
1088,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,736273,0.012734,72,10226,1688,19841,7801.017112
1088,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,952685,0.016477,72,13231,5200,197682,33650.519957
1088,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,81745,0.001414,72,1135,775,1640,176.036848
1088,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,292084325,5.051783,72,4056726,14051,290868897,34277210.916651
1104,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,311192,0.005277,69,4510,3189,22862,2708.451403
1104,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1325781,0.022481,69,19214,7886,217654,27946.974058
1104,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,10794404,0.183036,69,156440,71614,1948392,269952.307555
1104,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,743584,0.012609,69,10776,1792,67023,10406.219375
1104,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,2883045,0.048887,69,41783,14967,848975,112412.213953
1104,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,570405,0.009672,69,8266,4605,133359,15724.102390
1104,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,705225,0.011958,69,10220,5162,251952,29674.816279
