Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
2288,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,17674,0.000313,14,1262,696,1798,282.261472
2288,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,269249934,4.762342,14,19232138,15127,269009499,71890869.920597
2304,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,713201,0.012723,14,50942,1666,315264,99877.495778
2304,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4308014,0.076852,14,307715,73616,1413080,377467.199661
2304,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,222324,0.003966,14,15880,4910,59182,15998.426976
2304,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1091852,0.019478,14,77989,16412,330319,109729.669056
2304,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,250470,0.004468,14,17890,1988,201049,52845.447048
2304,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,501397,0.008945,14,35814,5152,204755,70189.543148
2304,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,24168,0.000431,14,1726,1114,4338,803.807287
2304,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,636837,0.011361,14,45488,8053,375026,97907.344845
2304,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,63775,0.001138,14,4555,3644,5968,861.791827
2304,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,94474,0.001685,14,6748,5444,12029,1996.607661
