Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
113,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1457696,0.026139,171,8524,3222,362856,32646.651088
113,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2984938,0.053525,171,17455,6569,296680,30900.714939
113,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,23828252,0.427284,171,139346,67024,1963466,221259.272769
113,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1876342,0.033646,171,10972,1802,96008,10494.947801
113,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,6246057,0.112003,171,36526,14273,986082,100418.939743
113,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1614119,0.028944,171,9439,4375,308449,30213.849039
113,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1519859,0.027254,171,8888,4667,347473,26517.683025
113,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1798189,0.032245,171,10515,5027,527039,42279.223205
113,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,972159,0.017433,171,5685,1525,228164,24650.795959
113,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,612316,0.010980,171,3580,1883,190141,14383.757764
113,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,235555,0.004224,171,1377,1035,6248,490.934906
113,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,237364,0.004256,171,1388,880,9697,921.366268
113,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,220586094,3.955513,171,1289977,13791,217088037,16599570.254030
114,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,906449,0.016637,144,6294,3172,201577,16898.213452
114,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2270997,0.041681,144,15770,7276,266282,23757.715179
114,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,17632818,0.323628,144,122450,69956,1667341,148832.306098
114,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1606020,0.029476,144,11152,1847,31811,8929.792357
114,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,3868714,0.071005,144,26866,14740,258911,37795.180966
114,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1200515,0.022034,144,8336,4017,244778,20689.044465
114,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1089992,0.020005,144,7569,4974,167287,13516.286116
114,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1132346,0.020783,144,7863,5253,204886,16612.058625
114,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,918892,0.016865,144,6381,1487,218648,27380.335026
114,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,539537,0.009903,144,3746,1929,200205,16494.778326
114,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,209601,0.003847,144,1455,1103,3666,290.536218
114,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,171085,0.003140,144,1188,700,3490,274.119200
114,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,216187895,3.967849,144,1501304,14253,213648341,17802548.722825
115,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1017064,0.018112,175,5811,3266,211218,15696.778113
115,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2937109,0.052304,175,16783,7461,378828,30001.042868
115,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,19971069,0.355643,175,114120,71781,1654727,134001.261523
115,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2306096,0.041067,175,13177,1677,218981,18465.866140
115,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,4932744,0.087842,175,28187,14502,478264,50248.456197
115,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1464141,0.026073,175,8366,4500,285080,21293.324997
115,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1192287,0.021232,175,6813,4780,20911,1917.585982
115,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1396861,0.024875,175,7982,5079,214446,16337.261687
115,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1526498,0.027184,175,8722,1580,448322,43852.592678
115,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,682945,0.012162,175,3902,1929,209675,16209.499362
115,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,247894,0.004414,175,1416,1036,3416,295.655827
115,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,227811,0.004057,175,1301,920,2347,240.573692
