Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
84,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,217470,0.003860,182,1194,735,5224,347.135317
84,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,225700025,4.005858,182,1240110,13370,222519755,16492960.005543
85,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,984504,0.017467,181,5439,3000,198689,14535.598219
85,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2696895,0.047848,181,14899,7375,261274,20968.889598
85,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,20260834,0.359467,181,111938,70504,1842081,142447.340421
85,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2073954,0.036796,181,11458,1923,30388,9028.436591
85,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5188975,0.092063,181,28668,14886,585635,54923.901914
85,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1733397,0.030754,181,9576,4327,314209,30624.328336
85,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1326401,0.023533,181,7328,5047,30761,3533.776629
85,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1459127,0.025888,181,8061,5031,207165,15714.581162
85,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1334476,0.023676,181,7372,1531,253201,33267.077461
85,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,708228,0.012565,181,3912,1861,203370,15602.023915
85,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,287145,0.005095,181,1586,1046,8546,1045.800579
85,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,227507,0.004036,181,1256,809,12533,859.044666
85,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,229434547,4.070625,181,1267594,14269,226175080,16810117.676328
86,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1080617,0.019206,167,6470,2946,211239,16837.222895
86,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2740767,0.048711,167,16411,7568,324692,26249.548279
86,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,20614387,0.366375,167,123439,73142,1732251,165190.310748
86,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2177321,0.038697,167,13037,1855,211035,20706.144381
86,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5195818,0.092344,167,31112,15407,660224,68263.309555
86,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1417128,0.025186,167,8485,4353,250625,21958.258754
86,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1222929,0.021735,167,7322,5066,68930,5185.362799
86,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1515093,0.026927,167,9072,5228,207995,19010.123963
86,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1162233,0.020656,167,6959,1555,313277,34866.743652
86,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,725586,0.012896,167,4344,1938,203904,17945.002894
86,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,274083,0.004871,167,1641,1161,12530,1010.867342
