Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
4,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,64887040,1.177693,223,290973,250880,336896,35222.394278
4,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,355478304,6.451893,223,1594073,1465344,2159584,132173.449634
4,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,748916896,13.592761,223,3358371,3097600,4043808,236419.887968
4,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,252225312,4.577862,223,1131055,1010688,1685536,123388.024788
4,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,25338912,0.459899,223,113627,94208,495616,30420.016507
4,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,174580448,3.168616,223,782871,671744,1273888,106843.997608
4,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,212848864,3.863184,223,954479,933888,1448992,60961.342214
5,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,83218464,1.536193,205,405943,340992,1187872,105475.813119
5,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,5534368,0.102163,205,26996,21504,33824,4791.682508
5,D3DLightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,432,97399872,1.797979,205,475121,453632,1296416,92468.294772
5,D3DGBuffer,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,404,60274624,1.112656,205,294022,251904,713760,49987.008694
5,D3DFrameOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,423,356196288,6.575301,205,1737542,1557504,2973696,255495.249855
5,D3DFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,145,727747136,13.434043,205,3549986,3206144,4975648,413650.400565
5,D3DVolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,440,258790304,4.777209,205,1262391,1102848,2490336,225695.130675
5,D3DExpSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,380,23282784,0.429795,205,113574,94208,493568,32381.557488
5,D3DFrameScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,373,166811808,3.079307,205,813716,689152,1898528,162157.825619
5,D3DFrameMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,456,199180544,3.676827,205,971612,932864,2159648,152250.590158
6,D3DBSM,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,390,83966976,1.492038,219,383410,359424,756736,30955.953113
6,D3DFrameBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,357,5311104,0.094375,219,24251,21504,27488,1512.567395
