Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
160,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2988035,0.053727,193,15482,7235,283097,23908.714534
160,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,23833109,0.428536,193,123487,69312,1868291,158193.683414
160,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2314489,0.041616,193,11992,1769,83525,11960.806624
160,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5675252,0.102045,193,29405,15040,656247,64511.565325
160,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,2106415,0.037875,193,10914,4316,345866,37439.600401
160,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1269773,0.022831,193,6579,4994,33380,2363.534119
160,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1460110,0.026254,193,7565,5115,206146,14698.186175
160,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1149520,0.020669,193,5956,1590,298311,29886.988932
160,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,682893,0.012279,193,3538,1877,201436,14565.859950
160,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,276135,0.004965,193,1430,1044,5521,427.878031
160,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,258944,0.004656,193,1341,726,10131,700.665952
160,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,273346932,4.914970,193,1416305,13577,269828900,19421391.614405
161,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,638575,0.010574,73,8747,3176,136056,18133.057904
161,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1643589,0.027216,73,22514,7533,184435,34864.195900
161,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,372701105,6.171420,73,5105494,68576,225639370,28351749.927081
161,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,49189012,0.814503,73,673822,14996,43431762,5076460.505068
161,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,43340104,0.717653,73,593700,4550,42640977,4989671.805547
161,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,502867,0.008327,73,6888,4941,56200,6102.780988
161,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,2976599,0.049288,73,40775,4894,392438,100968.877929
161,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,752596,0.012462,73,10309,1497,221478,33454.668848
161,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,484264,0.008019,73,6633,1876,168829,21741.057367
161,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,125964,0.002086,73,1725,1002,13433,2090.262002
161,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,81058,0.001342,73,1110,786,1813,200.131346
161,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1130614,0.018721,73,15487,1814,93877,20672.773468
161,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,528180317,8.745942,73,7235346,14110,526810105,61656232.948722
162,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1081835,0.020164,170,6363,3354,200409,15822.236619
162,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2537344,0.047293,170,14925,7842,153653,14667.830495
162,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,23266809,0.433666,170,136863,70704,2407521,215536.963054
162,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1895591,0.035332,170,11150,1986,36030,8789.928513
162,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5443746,0.101465,170,32022,15050,500879,61496.968148
162,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1289239,0.024030,170,7583,4231,271655,20561.551666
162,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1128060,0.021026,170,6635,5078,18833,1667.764780
